"Accession","Coefficient_crp","P_Value_crp","R_Squared_crp","Q_Value_crp","Coefficient_uvascore","P_Value_uvascore","R_Squared_uvascore","Q_Value_uvascore","Coefficient_wbc","P_Value_wbc","R_Squared_wbc","Q_Value_wbc"
"1433B_HUMAN",-59.0262662770924,0.487051232307243,0.0157100023962189,0.668047828867624,0.33740809339851,0.822941660524391,0.00158805538250771,0.886507397910671,1.49468858733075,0.662952157882736,0.00620787007347131,0.930030254354017
"1433E_HUMAN",-54.5243393242931,0.388730264417933,0.0240594707274026,0.582394729243306,-0.187696874424217,0.865776284011265,0.000906449803881936,0.91324016151036,-1.02119660703525,0.690019499384559,0.00520091226632486,0.941945405848748
"1433F_HUMAN",-29.9435908027944,0.600845813790333,0.00893304130517973,0.745588139634934,1.44675425462178,0.159688004233691,0.0608259418011661,0.306400436562891,2.88614237077545,0.205693571077605,0.0511425809004294,0.62512870545069
"1433G_HUMAN",16.4583464910616,0.749652664302374,0.00333243529716273,0.842467672676636,0.605802898567039,0.51269377424162,0.0135111836322075,0.644121924349508,0.0390350225691147,0.985023105630566,1.15519087365471e-05,0.994669212029067
"1433T_HUMAN",-86.3629524395969,0.166411103135425,0.0608428219347828,0.359098018219181,0.304925844267821,0.774616732742921,0.00259917923198606,0.849421409308596,0.844257581755809,0.740718335793357,0.00358310786145806,0.950013840534207
"1433Z_HUMAN",-18.6657805205665,0.899107628135481,0.000526851593670391,0.938395605859131,0.630545505507587,0.808602606932609,0.00186072484230321,0.876970885806869,5.1351003953377,0.383657061394198,0.0245725044185126,0.802591974940444
"2A5D_HUMAN",-152.67858958757,0.000279412632618135,0.351174670982817,0.0175945288054692,-2.1730324585677,0.0049545480409647,0.221628034177151,0.04464378422667,-0.11667045249431,0.950491924366052,0.000126370069945039,0.987840602967421
"2AAA_HUMAN",-151.438141556341,0.0276804451752534,0.14691019393132,0.154623562027356,-1.49547319084463,0.243920404536165,0.0421811841621799,0.398151110044218,-1.18639623014825,0.680140204699639,0.00555643785403242,0.938600983533505
"2AAB_HUMAN",-37.9772770028925,0.123410202790378,0.0748514061062057,0.307858825208171,-1.44527376631584,0.000347820017391972,0.333606797844151,0.0140358349017911,-0.709825819536619,0.481454562895986,0.0161143005515225,0.860242976524384
"5NT1B_HUMAN",36.6454774300611,0.170948626158559,0.059599134869362,0.364167912193737,0.616774830036325,0.198211639025998,0.0511887319582683,0.350935039401996,-1.69866601340455,0.113278552627133,0.0789170310734139,0.481461542797459
"5NT3A_HUMAN",-24.2209581357826,0.419792032280229,0.02111137795787,0.613549465466638,-1.15970377939746,0.0231122682006168,0.151049986051321,0.101253799371024,-1.24331396634726,0.302281889918334,0.0342808138056495,0.720842405171714
"6PGD_HUMAN",-121.797358165807,0.0674719203754475,0.103799448602886,0.230224385123448,-0.761739760288895,0.528962151465885,0.0125030350507539,0.655837321447559,-0.906916893598014,0.741998297972578,0.00354658072369993,0.950013840534207
"6PGL_HUMAN",-142.898971894508,0.105826937715024,0.0821590759725893,0.28596667954723,-2.52492910268186,0.111850520928056,0.0770973248264762,0.248849445919166,-2.36779825835391,0.513456424952291,0.0139008797751983,0.881910653037783
"A16A1_HUMAN",-72.0534325831321,0.119123002303201,0.0765271676519573,0.30261320144994,-2.01077659742987,0.0132522829577805,0.176911048473525,0.0730457400166256,-1.99137118466859,0.290101584021731,0.0360218723300994,0.711655409754158
"A1AG1_HUMAN",71.6185866947335,0.00220939285730289,0.264306487121133,0.0481562488115656,1.43621646014469,0.000544900718079835,0.315658338076127,0.0153014012455391,-0.78881573159236,0.435248077670845,0.0197589113209438,0.839003251762537
"A1AG2_HUMAN",75.3815398312367,0.0103092044962999,0.193996560666862,0.096485430808766,1.45674950629679,0.00532240485830494,0.218425133185457,0.0458919389857165,-0.895463645871365,0.471265669027137,0.0168700160280043,0.849904012781106
"A1AT_HUMAN",115.125034248735,0.00010796452654337,0.388076831676769,0.00975436026770095,1.96494058641292,0.000279811765212143,0.342159457226069,0.0125193670259097,-1.25134061716638,0.349763022400472,0.0282543167876708,0.772377853930055
"A1BG_HUMAN",49.6805486799122,0.251381818639402,0.0422096386514367,0.450410092312873,0.965985284090345,0.22031209634759,0.0465651986951766,0.374332409002691,-3.32662509889591,0.0517629902478309,0.116627815932118,0.310440427485617
"A2AP_HUMAN",79.2438172486432,0.112080837788342,0.0794227847103492,0.29362407674759,0.967266420306994,0.292784255346169,0.0345197494132978,0.444091739130904,-3.29943849403851,0.100032157149504,0.0848496322787337,0.448800220073247
"A2GL_HUMAN",100.043953188522,5.30319932173193e-05,0.414425602590855,0.00580002536345208,1.32913022828661,0.00449694476743006,0.225947765325398,0.0421468870840774,-0.000576047900341167,0.999594502722348,8.46715755060863e-09,0.999594502722348
"A2MG_HUMAN",56.985273501429,0.301486856430394,0.0343917816293715,0.501191750129888,2.44115280402302,0.0114194606956955,0.18376902443268,0.0679932358901299,-3.95777519622561,0.0696962996598029,0.102232081015692,0.365154759888725
"A4_HUMAN",-45.0059787914898,0.118058705514402,0.0769530458398656,0.301753985312334,0.103015314734246,0.845613201589392,0.00120278476524999,0.899491823197439,0.299140446601651,0.800321121697418,0.00209503471203434,0.952536477723515
"AACT_HUMAN",104.397964245577,8.87770786166093e-06,0.476134989253448,0.00253193105176039,1.74337743901281,7.22861304747605e-05,0.393232478964957,0.00834503217369735,-0.594446129725985,0.589206933534276,0.00951319942063694,0.913096392045649
"AAMDC_HUMAN",-34.3553613237046,0.236735693533677,0.0448531947615202,0.43534227536547,-0.743189660615919,0.157026221881596,0.0615843553273972,0.304625534393938,0.359045778324817,0.761360107479336,0.00301897520578219,0.950184139765484
"AASD1_HUMAN",18.8757622052017,0.642207415459499,0.00705160137632597,0.773627251782515,0.00677673944223091,0.992711710779477,2.64860592510648e-06,0.995586358590614,-2.14284042857419,0.184852883727218,0.0560033463251902,0.598324442967538
"AATC_HUMAN",-129.489927414968,0.109156113980153,0.0806820069764159,0.290207721529555,-1.81023227453775,0.221738822437473,0.0462851061944392,0.375528339873732,-3.23810104144941,0.326302848062643,0.0310914564433266,0.746759161094904
"AATM_HUMAN",65.9248382539617,0.00973218964003256,0.196701383385704,0.0935137205060852,1.12631384652149,0.0118494726651194,0.182068758993475,0.0692688903917202,1.96549742736637,0.0621817241599838,0.107748140471078,0.344569660811857
"ABC3A_HUMAN",7.64751037847839,0.753139996412773,0.00323729369123037,0.843679198137866,0.495152670610209,0.257654112073099,0.0398535518183392,0.411533624049117,0.54005875839319,0.580758972091089,0.00994900236370028,0.910860209271726
"ABCA1_HUMAN",51.139214699901,0.0360698943270022,0.134122017773303,0.17452869354493,0.749198820650208,0.0930238360133991,0.0856498398506806,0.222063096564307,0.61648851732372,0.543754966937845,0.0120115072793151,0.892514076853745
"ABCB6_HUMAN",-56.1696357968509,0.0694985481830201,0.10236934987315,0.233654260990069,-1.52891020262845,0.00492879251292054,0.221860773565415,0.04464378422667,0.427942885686895,0.737985333789584,0.00366179398548135,0.950013840534207
"ABCE1_HUMAN",-8.75253657317144,0.815504251788842,0.00178319492587716,0.881695023526126,-0.493626473246928,0.466600396276878,0.0166826695051716,0.605618752944006,-2.71483572311941,0.0648388609082837,0.105724007711308,0.354566192019509
"ABCG2_HUMAN",-69.1228882498337,0.0701131589372364,0.101944011276609,0.233728816266816,-1.8341575946955,0.00643882198043516,0.209867143455119,0.0512638776833113,-1.96769261773562,0.206763234119645,0.050908234219896,0.62512870545069
"ABHEB_HUMAN",-57.704092922282,0.164262786611225,0.0614446795583552,0.357422063432593,-1.4828759068803,0.0416628173099591,0.123369785055184,0.138935474661366,-0.663828753464599,0.695452082351359,0.00501116522270369,0.941945405848748
"ABHGA_HUMAN",-50.4036806484069,0.1129548183968,0.0790531772359055,0.294574057343707,-0.968215544180641,0.0899201221111953,0.0872313480241425,0.218032688152933,-0.12071678862664,0.926434243208486,0.000279438170950431,0.985729829691364
